confirmados acumulado,óbitos acumulado,casos novos,óbitos novos,data
0,0,0,0,09/04/20
0,0,0,0,17/04/20
1,0,1,0,30/04/20
4,0,3,0,04/05/20
5,0,1,0,06/05/20
6,0,1,0,08/05/20
7,0,1,0,11/05/20
10,0,3,0,12/05/20
12,0,2,0,13/05/20
13,0,1,0,14/05/20
15,0,2,0,15/05/20
16,0,1,0,16/05/20
25,0,9,0,18/05/20
26,0,1,0,19/05/20
30,0,4,0,20/05/20
36,0,6,0,21/05/20
44,0,8,0,22/05/20
51,0,7,0,23/05/20
52,1,1,1,24/05/20
68,1,16,0,25/05/20
86,2,18,1,26/05/20
109,2,23,0,27/05/20
128,3,19,1,28/05/20
144,4,16,1,29/05/20
162,4,18,0,30/05/20
177,5,15,1,01/06/20
195,5,18,0,02/06/20
214,6,19,1,03/06/20
242,6,28,0,04/06/20
286,6,44,0,05/06/20
347,7,61,1,06/06/20
393,7,46,0,08/06/20
457,7,64,0,09/06/20
529,9,72,2,10/06/20
590,9,61,0,11/06/20
634,9,44,0,12/06/20
727,9,93,0,13/06/20
795,10,68,1,15/06/20
868,11,73,1,16/06/20
906,11,38,0,17/06/20
962,11,56,0,18/06/20
1028,13,66,2,19/06/20
1065,13,37,0,20/06/20
1126,13,61,0,22/06/20
1186,13,60,0,23/06/20
1223,13,37,0,24/06/20
1283,14,60,1,25/06/20
1332,14,49,0,26/06/20
1406,14,74,0,29/06/20
1470,16,64,2,30/06/20
1522,17,52,1,01/07/20
1574,17,52,0,02/07/20
1627,17,53,0,03/07/20
1677,17,50,0,06/07/20
1734,17,57,0,07/07/20
1791,17,57,0,08/07/20
1840,17,49,0,09/07/20
1889,21,49,4,10/07/20
1935,21,46,0,13/07/20
1977,21,42,0,14/07/20
2021,21,44,0,15/07/20
2057,21,36,0,16/07/20
2094,21,37,0,17/07/20
2121,21,27,0,20/07/20
2148,24,27,0,21/07/20
2161,25,13,1,22/07/20
2173,25,12,0,23/07/20
2188,25,15,0,24/07/20
2209,26,21,1,27/07/20
2225,26,16,0,28/07/20
2238,27,13,1,29/07/20
2262,27,24,0,30/07/20
2269,27,7,0,31/07/20
2293,27,24,0,03/08/20
2304,27,11,0,04/08/20
2330,27,26,0,07/08/20
2349,32,19,5,10/08/20
2356,32,7,0,11/08/20
2381,32,25,0,17/08/20
2390,32,9,0,18/08/20
2401,32,11,0,19/08/20
2404,32,3,0,20/08/20
2410,32,6,0,21/08/20
2420,32,10,0,24/08/20
2432,32,12,0,26/08/20
2447,32,15,0,27/08/20
2461,35,14,3,02/09/20
2500,36,39,1,10/09/20
2503,36,3,0,14/09/20
2522,37,19,1,21/09/20
2532,39,10,2,28/09/20
2533,39,1,0,30/09/20
2533,39,0,0,02/10/20
2535,40,2,1,05/10/20
2536,40,1,0,07/10/20
2542,40,6,0,14/10/20
2549,40,7,0,15/10/20
2560,40,11,0,19/10/20
2571,40,11,0,21/10/20
2593,41,22,1,23/10/20
2613,41,20,0,27/10/20
2620,41,7,0,29/10/20
2626,41,6,0,04/11/20
2638,41,12,0,06/11/20
2700,41,62,0,16/11/20
2705,41,5,0,17/11/20
2733,41,28,0,19/11/20
2735,41,2,0,20/11/20
2743,41,8,0,23/11/20
2753,42,10,1,25/11/20
2756,42,3,0,27/11/20
2770,42,4,0,03/12/20
2778,42,8,0,07/12/20
2784,42,6,0,09/12/20
2790,42,6,0,11/12/20
2796,42,6,0,14/12/20
2804,43,8,0,16/12/20
2806,43,2,0,17/12/20
2831,43,25,0,21/12/20
2925,43,94,0,28/12/20
2955,43,30,0,07/01/21
2969,43,14,0,08/01/21
2984,43,15,0,12/01/21
3021,44,37,1,15/01/21
3031,44,10,0,19/01/21
3034,44,3,0,21/01/21
3034,44,0,0,22/01/21
3036,44,2,0,26/01/21
3046,44,10,0,29/01/21
3049,44,3,0,02/02/21
3060,44,11,0,05/02/21
3145,44,85,0,19/02/21
3162,44,7,0,22/02/21
3180,44,18,0,23/02/21
3201,45,21,1,25/02/21
3236,45,35,0,01/03/21
3261,45,25,0,02/03/21
3295,45,34,0,03/03/21
